self,children,object,symbol
0.08,0.08,python,_PyEval_AcquireLock
0.08,0.08,[kernel.kallsyms],__d_lookup_rcu
0.08,0.08,python,__errno_location@plt
0.08,0.08,python,PyEval_RestoreThread
0.08,0.08,python,PyObject_Hash
0.08,0.08,libmagic.so.1.0.0,0x000000000000f936
0.08,0.08,python,_PyEval_ReleaseLock
0.07,1.77,python,PyGILState_Ensure
0.07,1.74,python,cfunction_vectorcall_O
0.07,0.92,libsqlite3.so.0.8.6,sqlite3_column_double
0.07,0.65,[kernel.kallsyms],__handle_mm_fault
0.07,0.39,python,subtype_dealloc
0.07,0.37,python,_PyEvalFramePushAndInit
0.07,0.36,python,_PyEval_FrameClearAndPop
0.07,0.13,_sqlite3.cpython-313-x86_64-linux-gnu.so,_pysqlite_set_result
0.07,0.07,python,lru_cache_make_key
0.07,0.07,python,PyUnicode_AsUTF8AndSize
0.07,0.07,[kernel.kallsyms],clear_page_erms
0.07,0.07,python,PyThreadState_GetUnchecked
0.07,0.07,libsqlite3.so.0.8.6,sqlite3_stmt_busy
0.06,1.18,python,long_to_decimal_string
0.06,0.71,python,_PyEval_FrameClearAndPop
0.06,0.5,python,PyDict_SetDefault
0.06,0.31,python,func_traverse
0.06,0.3,python,_PyObject_GetMethod
0.06,0.29,python,unicode_hash (inlined)
0.06,0.18,python,subtype_traverse
0.06,0.18,python,_Py_type_getattro
0.06,0.11,python,frame_dealloc
0.06,0.09,python,set_traverse
0.06,0.06,[kernel.kallsyms],rmqueue
0.06,0.06,python,find_empty_slot
0.06,0.06,python,_PyPegen_is_memoized
0.06,0.06,python,listiter_next
0.06,0.06,[kernel.kallsyms],_raw_spin_lock
0.06,0.06,libsqlite3.so.0.8.6,sqlite3_result_int64
0.06,0.06,_sqlite3.cpython-313-x86_64-linux-gnu.so,0x0000000000008654
0.06,0.06,python,PyObject_GC_Track
0.06,0.06,python,memset@plt
0.06,0.06,python,_PyFunction_Vectorcall
0.06,0.06,_sqlite3.cpython-313-x86_64-linux-gnu.so,0x0000000000007f04
0.05,1.58,python,type_new
0.05,0.5,libsqlite3.so.0.8.6,sqlite3_bind_double
0.05,0.28,python,dict_dealloc
0.05,0.15,python,PyGILState_Release
0.05,0.11,python,PyObject_VisitManagedDict
0.05,0.11,python,_PyTuple_MaybeUntrack
0.05,0.11,python,_PyTuple_FromArraySteal
0.05,0.1,_sqlite3.cpython-313-x86_64-linux-gnu.so,_pysqlite_long_as_int64
0.05,0.06,python,_PyThreadState_PopFrame
0.05,0.06,python,PyDict_SetItem
0.05,0.05,python,PyUnicode_InternInPlace
0.05,0.05,python,PyLong_FromSsize_t
0.05,0.05,python,PyLong_AsLongLongAndOverflow
0.05,0.05,_sqlite3.cpython-313-x86_64-linux-gnu.so,0x0000000000007dd4
0.05,0.05,python,listiter_dealloc
0.05,0.05,libmagic.so.1.0.0,0x000000000000f932
0.05,0.05,python,build_indices_unicode
0.05,0.05,python,sre_ucs1_count
0.04,4.97,python,_PyObject_Call_Prepend
0.04,0.73,python,slot_tp_iternext
0.04,0.72,_sqlite3.cpython-313-x86_64-linux-gnu.so,cursor_dealloc
0.04,0.71,libsqlite3.so.0.8.6,sqlite3_result_null
0.04,0.71,[kernel.kallsyms],handle_mm_fault
0.04,0.43,libsqlite3.so.0.8.6,sqlite3_column_int64
0.04,0.29,python3.8,_PyEval_EvalFrameDefault
0.04,0.24,python,_PyEval_Vector
0.04,0.19,[kernel.kallsyms],link_path_walk.part.0
0.04,0.18,ld-2.31.so,_dl_catch_error
0.04,0.18,python,_PyObject_GC_NewVar
0.04,0.12,python,PyFunction_NewWithQualName
0.04,0.11,[kernel.kallsyms],release_pages
0.04,0.1,python,PyUnicode_FromFormatV
0.04,0.1,python,_PyDict_FromItems
0.04,0.06,python,PyObject_IsTrue
0.04,0.06,[kernel.kallsyms],filemap_map_pages
0.04,0.06,python,weakref_dealloc
0.04,0.05,python,type_is_gc
0.04,0.05,[kernel.kallsyms],copy_pte_range.isra.0
0.04,0.04,python,PyModule_GetState
0.04,0.04,python,PyUnicode_FromStringAndSize
0.04,0.04,python,PyList_GetItem
0.04,0.04,python,convertitem.constprop.0
0.04,0.04,libsqlite3.so.0.8.6,sqlite3_value_type
0.04,0.04,_sqlite3.cpython-313-x86_64-linux-gnu.so,0x0000000000007cc4
0.04,0.04,python,lru_cache_call
0.04,0.04,python,_PyType_GetDict
0.04,0.04,python,PyDescr_IsData
0.04,0.04,python,set_lookkey
0.03,0.43,python,PyObject_GetOptionalAttr
0.03,0.21,python,_PyObject_FreeInstanceAttributes
0.03,0.19,python,PyBytes_FromStringAndSize
0.03,0.13,python,new_keys_object
0.03,0.11,python,list_traverse
0.03,0.11,python,PyObject_RichCompareBool
0.03,0.1,python,meth_dealloc
0.03,0.09,libpython3.11.so.1.0,deduce_unreachable
0.03,0.08,python,PyCMethod_New
0.03,0.07,python,func_clear
0.03,0.07,[kernel.kallsyms],do_wp_page
0.03,0.07,libsqlite3.so.0.8.6,sqlite3_exec
0.03,0.07,python,r_string (inlined)
0.03,0.06,python3.8,PyOS_strtoul
0.03,0.05,[kernel.kallsyms],__pagevec_lru_add_fn
0.03,0.05,python,_PyDict_MaybeUntrack
0.03,0.05,python,_PyFrame_Traverse
0.03,0.05,python,_PyObject_InitializeDict
0.03,0.05,[kernel.kallsyms],find_vma
0.03,0.05,python,set_dealloc
0.03,0.04,[kernel.kallsyms],page_remove_rmap
0.03,0.04,python,getset_get
0.03,0.03,libsqlite3.so.0.8.6,0x000000000000e8e4
0.03,0.03,python,_copy_characters.part.0.constprop.0
0.03,0.03,python,PyThread_tss_get
0.03,0.03,python,PySlice_AdjustIndices
0.03,0.03,python,PyMem_Free
0.03,0.03,python,hashtable_unicode_compare
0.03,0.03,libsqlite3.so.0.8.6,0x000000000000e4c4
0.03,0.03,python,PyObject_Size
0.03,0.03,python,PyUnicode_AsUCS4
0.03,0.03,python,PyLong_FromString
0.03,0.03,python,set_add_entry
0.03,0.03,python,func_descr_get
0.03,0.03,[kernel.kallsyms],free_pcppages_bulk
0.03,0.03,libpython3.11.so.1.0,_PyDict_GetItem_KnownHash
0.03,0.03,[kernel.kallsyms],memcpy_erms
0.03,0.03,libsqlite3.so.0.8.6,sqlite3_bind_parameter_name
0.03,0.03,_sqlite3.cpython-313-x86_64-linux-gnu.so,pysqlite_check_connection
0.03,0.03,python,memcpy@plt
0.03,0.03,python,PyDict_Next
0.03,0.03,[kernel.kallsyms],syscall_return_via_sysret
0.03,0.03,python,_PyFloat_ExactDealloc
0.03,0.03,python,_PyEval_SliceIndex
0.03,0.03,[kernel.kallsyms],memset_erms
0.03,0.03,_sqlite3.cpython-313-x86_64-linux-gnu.so,0x0000000000008374
0.02,21.03,python,PyObject_Call
0.02,3.74,python,slot_tp_init
0.02,3.37,python,list_extend
0.02,2.19,python,_PyObject_CallFunctionVa
0.02,1.79,[kernel.kallsyms],do_syscall_64
0.02,1.15,[kernel.kallsyms],page_fault
0.02,0.77,[kernel.kallsyms],do_user_addr_fault
0.02,0.69,python,PyObject_GetItem
0.02,0.43,python,_Py_hashtable_get
0.02,0.42,python,cfunction_vectorcall_NOARGS
0.02,0.35,python,PyObject_SetAttr
0.02,0.33,python,map_next
0.02,0.29,python,PyNumber_InPlaceAdd
0.02,0.29,python,method_vectorcall_VARARGS
0.02,0.25,python,stringio_iternext
0.02,0.21,python,_PyObject_GenericSetAttrWithDict
0.02,0.2,[kernel.kallsyms],generic_file_buffered_read
